id,email,name,password,balance
1,cheuna2@cky.edu.hk,Abraham Cheung,sha256$JELX1pbwyTcWDS9F$3cd014a39e22af3c35483dc780f197b887ffceae4e7886e9362673102d0837d2,0
2,jimmy69@gmail.com,Jim Williams,sha256$oSqIFYb3hh8akyhT$423fdb60dc3ab147447a88ac6050dd0319d77c93a581657e9b8af4ca17363e42,0
3,hank123@yahoo.com,Oliver Hanks,sha256$j31nGxor3EItnGXQ$3089dc14c78c3767c88f2b1d8b06d4d6ee454f5388ac12d301f74d2c2fc04ec9,0
4,ethandavidwilson77@hotmail.com,David Lester,sha256$dNdqmSwUONibfJs6$d04d14007d0fb822126c2a0305f26cadb012b74eac6d83e70f630f70012426e1,0
5,mynameisanson@smart.guy,Anson Chan,sha256$QOud35p5TEEgMx4U$340a19d14b25c85fb91aa46d3813a1e5ccdbc32f3f3945a46a360b62dba36f52,0
6,tornadocold@193.cc,Janna Shum,sha256$E5TlHf22G260puID$1f348732be6e66e7fdfc9f3fabe8a8a002720abdcb5c12587cffa5e58ef22a9a,0
7,imtired@69.co,Caitlyn Wong,sha256$CD3K3SX93pIoTtUR$e0e935745585b0aad5d560827d035915d07ffa69f3b49c25b79c8cb57aee29e6,0
8,tangthembobs@gmail.com,Bob Tang,sha256$KOZT2sjuXB53tdrZ$13ebbcd670c57272a3e5e8e2834580a97b951f93cca96771ff3e5265099ed6c8,0
9,yuknowwhat@quest.ion,Natalie Yu,sha256$GZHfJt0ulGGd4R7K$396cafb60d80ed36524288a48ef5d82188ede4522b1007fc154a232d548cbd7e,0
10,annadaday@today.com,Anna Ng,sha256$tuOwzPU5aQVFAwbL$fc65354f64edbde2e165044c42fefc80f3546a4b05e005818c223fd61992995b,0
11,toldmrto59@gmail.com,Thomas To,sha256$QTOKe1ZPIrSV0O8o$5c88b523ba6b102e5471e81a942361df0112212d3070838f5d5dbeabb69379fc,0
12,general467@gmail.com,Tristan Cheng,sha256$g41aPdOBVkFh7uDC$27f6386236247312375a962d94e86fa131867edc3869de61dc807274cd690c2a,0
13,imtasty99@hotmail.com,Angus Beef,sha256$6HZ9BBBohKTZm7Kp$862293084ab125c089b6aed69c4ba8c8ab27ebcdd4f1132da0b01454a7602f60,0
14,imold123@gmail.com,Ptlomey Lee,sha256$NDjmLwES5nh8gi43$b7b8436e6ddd028593945f7a4917580b7d753e5c73b0e9771ecca65daa9af82b,0
15,coolguynamelol@69.com,Adam Smith,sha256$8YHanrPfjQoKv3eK$ca1a98923a534d8a96a0e65c216d1eb0788bbd5fe7c4ea1ad4ddc09f7886aae9,0
16,funnynamehaha@gmail.com,John Chong,sha256$L4dQ9Etm2k2gkhBZ$988165abc30c47d9f3d14bc7f378dff3f2546e9ca113b36206a9532063fcdb60,0
17,mcchickened@kfc.com,Chris Mak,sha256$yDLrNmeR4hpFLKtt$2fbac440612bba3787fc234dcf304fa870189eaca65243b4ecafc0258e1b7e24,0
18,tsuiyu@gmail.com,Jack Tsui,sha256$ZSwTk2qgeziS6nJN$49cc4910b1729166a4ccdc04e908af71bb6a77c3d2bc0d79145268394290c066,0
19,leesintome@yahoo.com,Max Lee,sha256$fGq8vEm201C1fXMW$b644769e8db7522c6399a6a9c85ac9ba19dace4bf176588994be123db798d6f7,0
20,auch@og.com,Bobby Au,sha256$R8L2ixFdcPkzm3mK$f25f64c86c0d107093f251aa7282fc225baa3fdf86836a760f999c01274c16aa,0
21,hankypanky@gmail.com,Tom Hanks,sha256$G5U44GY91kYQHDai$e9df31c0d80070e2f54a60f8e1e90d3f882a025ab3f6d773aee38707cad08e69,0
